,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
1536,SYMBOL TECHNOLOGIES,SBL.2,734.0310000000001,1646.5179999999998,788.221,99.012,63.169,120.241,183.41,742.057,212.862,536.2230000000001,3.295,-185.171,152.377,1530.2779999999998,3897.6546,725.92,1530.2779999999998,1346.868
1537,SYMBOL TECHNOLOGIES,SBL.2,742.7669999999999,1930.369,858.9639999999999,176.08700000000002,65.166,136.93,202.096,873.159,207.338,606.7819999999999,81.847,-98.866,113.658,1732.1229999999998,4191.3229,857.85,1732.1229999999998,1530.027
1538,SYMBOL TECHNOLOGIES,SBL.2,729.7189999999999,1816.305,906.999,44.45399999999999,68.249,97.17,165.419,858.632,182.201,497.4330000000001,32.247,-80.917,213.02,1765.631,3237.973,609.055,1765.631,1600.2120000000002
6042,SYMPHONIX DEVICES INC,3SMPX,32.559,34.03,2.3280000000000003,1.0,0.7659999999999999,-17.62,-16.854,-1.081,2.0340000000000003,6.41,-17.157,-65.932,0.356,1.247,58.1615,8.511000000000001,1.247,18.101
6043,SYMPHONIX DEVICES INC,3SMPX,13.668,15.155,3.529,0.5,0.7509999999999999,-17.685,-16.934,-1.509,0.6559999999999999,4.635,-16.729,-82.455,0.3289999999999999,2.02,8.9088,5.867000000000001,2.02,18.954
6044,SYMPHONIX DEVICES INC,3SMPX,3.049,3.652,0.867,0.0,0.687,-7.642,-6.955,0.816,0.6759999999999999,1.48,-7.303999999999999,-89.954,0.175,1.683,2.1532,1.837,1.683,8.638
7002,SYMYX TECHNOLOGIES INC,SMMX,86.52799999999999,314.982,121.843,0.0,17.236,-14.007,3.229,3.229,4.077,50.45,18.784,48.97,23.047,125.072,257.9635,62.74100000000001,125.072,121.843
7003,SYMYX TECHNOLOGIES INC,SMMX,96.065,224.514,156.006,0.0,24.62,-21.581,3.039,3.039,3.3080000000000003,54.672,-106.616,-55.641000000000005,18.542,159.045,202.0491,72.431,159.045,156.006
7004,SYMYX TECHNOLOGIES INC,SMMX,110.81,226.808,134.627,0.0,16.961,-1.142,15.819,15.819,1.956,53.419,-1.138,-56.794,17.641,150.446,190.806,70.074,150.446,134.627
3381,SYNAGRO TECHNOLOGIES INC,SYGR,84.764,510.784,238.266,248.799,19.902,43.35,63.252,87.598,10.693,73.845,12.954,-4.673,64.109,325.86400000000003,60.2224,346.93300000000005,325.86400000000003,262.612
3382,SYNAGRO TECHNOLOGIES INC,SYGR,113.191,543.306,254.35,279.951,21.667,37.507,59.174,83.654,13.568,56.932,-9.65,-13.445,66.429,338.004,307.999,359.152,338.004,278.83
3383,SYNAGRO TECHNOLOGIES INC,SYGR,91.82,550.625,256.466,278.599,23.211,34.744,57.955,89.34,6.86,62.889,8.003,-5.017,70.072,345.806,343.96,368.506,345.806,287.851
4707,SYNAPTIC PHARMACEUTICAL CORP,SNAP.1,13.554,48.75,18.043,0.0,1.609,-17.797,-16.188,-16.188,0.0,1.3969999999999998,-15.121,-51.721,0.0,1.855,72.6638,1.644,1.855,18.043
4708,SYNAPTIC PHARMACEUTICAL CORP,SNAP.1,23.478,37.571,18.586,0.0,1.626,-16.375999999999998,-14.75,-14.75,0.0,2.478,-13.859000000000002,-64.972,0.0,3.836,56.047,3.042,3.836,18.586
4709,SYNAPTIC PHARMACEUTICAL CORP,SNAP.1,48.792,54.833,24.302,0.0,1.308,-24.203000000000003,-22.895,-22.895,0.0,3.202,-21.816,-86.51799999999999,0.0,1.4069999999999998,65.9371,4.047,1.4069999999999998,24.302
1542,SYNBIOTICS CORP,SYNB,9.435,15.436,9.935,4.516,0.515,-3.309,-2.794,11.736,5.438,6.394,-14.401,-46.09,2.455,21.671,1.167,12.872,21.671,24.465
1543,SYNBIOTICS CORP,SYNB,9.875,15.341,7.962999999999999,0.0,1.17,1.262,2.432,11.248,5.266,8.809,1.287,-44.522,2.6860000000000004,19.211,6.408,10.943,19.211,16.779
1544,SYNBIOTICS CORP,SYNB,10.998,15.522,7.961,3.835,1.09,-1.111,-0.021,11.258,6.207999999999999,6.055,-0.647,-45.221,3.424,19.219,3.1731,11.203,19.219,19.24
1545,SYNCOR INTL CORP/DE,SCOR.1,147.947,312.642,350.98800000000006,76.32600000000001,19.515,44.198,63.713,169.321,21.727,91.621,19.221,65.37899999999999,89.88600000000001,520.309,346.9661,172.305,520.309,456.596
1546,SYNCOR INTL CORP/DE,SCOR.1,223.837,470.571,404.548,137.886,26.309,56.315,82.624,224.846,59.926,143.484,29.538,95.978,119.402,629.394,888.4594,284.691,629.394,546.77
1547,SYNCOR INTL CORP/DE,SCOR.1,247.396,587.841,479.735,210.649,39.561,74.877,114.438,294.983,30.63,131.668,37.869,142.03799999999998,155.703,774.7180000000001,608.7718,353.0130000000001,774.7180000000001,660.28
8097,SYNIVERSE HOLDINGS INC-OLD,SVR.1,140.704,1107.55,137.52,519.476,42.867,109.563,152.43,240.004,0.0,66.507,52.419,7.042000000000001,79.378,377.524,1064.1607,636.758,377.524,225.094
8098,SYNIVERSE HOLDINGS INC-OLD,SVR.1,275.358,1199.8339999999998,165.236,510.382,55.344,160.986,216.33,341.12,0.0,79.139,78.464,64.28,94.864,506.356,817.3646,663.992,506.356,290.026
8099,SYNIVERSE HOLDINGS INC-OLD,SVR.1,238.874,1309.724,172.95,509.012,60.397,141.019,201.416,310.041,0.0,82.77,66.267,137.377,126.127,482.991,1212.8148,688.57,482.991,281.575
2100,SYNOVIS LIFE TECH INC,SYNO,71.594,93.72,14.888,0.0,1.556,8.102,9.658,43.323,7.724,7.709,2.7060000000000004,22.765,6.925,58.211000000000006,137.4719,7.709,58.211000000000006,48.553
2101,SYNOVIS LIFE TECH INC,SYNO,74.286,97.482,17.015,0.0,2.01,7.335,9.345,51.55,9.433,8.015,4.876,27.575,8.701,68.565,168.435,8.015,68.565,59.22
2102,SYNOVIS LIFE TECH INC,SYNO,82.896,105.935,20.455,0.0,1.888,12.362,14.25,61.908,9.998,10.015,8.461,35.976,11.262,82.363,200.5773,10.015,82.363,68.113
7590,SYNPLICITY INC,SYNP,72.10300000000001,78.637,0.528,0.0,2.747,5.192,7.939,61.407,0.0,24.791,6.553999999999999,-7.771,12.632,61.935,224.349,24.791,61.935,53.996
7591,SYNPLICITY INC,SYNP,77.949,83.809,0.516,0.0,2.651,2.377,5.0280000000000005,62.027,0.0,25.694000000000003,3.175,-4.584,10.323,62.543,168.1749,25.69400000000001,62.543,57.515
7592,SYNPLICITY INC,SYNP,67.744,101.35,2.984,0.0,4.263,2.842,7.105,68.182,1.308,28.614,13.092,8.672,15.513,71.166,152.8242,31.358,71.166,64.061
2766,SYNTELLECT INC,3SYNL.,21.408,26.224,24.712,0.293,2.489,-5.072,-2.583,20.719,2.041,11.541,-1.866,-41.97,11.405,45.431,36.042,11.834,45.431,48.014
2767,SYNTELLECT INC,3SYNL.,22.024,27.101,19.737,0.316,1.817,1.466,3.283,27.52,1.415,15.608,2.242,-39.865,12.489,47.257,40.5021,15.924,47.257,43.974
2768,SYNTELLECT INC,3SYNL.,13.409,18.199,17.883,0.537,1.764,-8.055,-6.291,18.705,0.634,14.127,-7.925,-47.826,7.706,36.588,21.5232,14.664,36.588,42.879
1548,SYNTHETECH INC,3NZYM,8.2,12.111,11.231,0.0,0.476,-1.111,-0.635,3.33,4.34,3.752,-1.1740000000000002,-1.034,2.46,14.561,8.0476,3.752,14.561,15.196
1549,SYNTHETECH INC,3NZYM,8.622,13.007,13.815,0.715,0.499,1.308,1.807,6.047000000000001,5.027,2.687,1.151,0.1169999999999999,2.669,19.862,8.057,3.402,19.862,18.055
1550,SYNTHETECH INC,3NZYM,9.225,13.275,9.503,0.505,0.523,1.359,1.882,5.7410000000000005,5.056,1.948,1.157,1.274,2.7960000000000003,15.244000000000002,8.799,2.4530000000000003,15.244000000000002,13.362
3492,SYRATECH CORP,SYRA,158.234,237.371,194.665,157.634,9.985,1.574,11.559,81.819,74.949,47.982,-11.468,-20.641,57.53,276.48400000000004,1.2866,227.243,276.48400000000004,264.925
3493,SYRATECH CORP,SYRA,137.85,202.746,179.18599999999998,153.584,9.801,-3.916,5.885,73.274,58.198,55.114,-35.611999999999995,-58.517,51.582,252.46,0.7568,226.806,252.46,246.575
3494,SYRATECH CORP,SYRA,104.895,118.604,137.995,118.271,6.641,1.604,8.245,64.957,37.5,40.113,-31.608,-94.399,31.543000000000003,202.952,1.5136,174.416,202.952,194.707
2889,SYS,SYS.5,14.74,24.755,37.226,2.4090000000000003,0.6920000000000001,2.794,3.486,8.543,0.0969999999999999,6.689,1.4069999999999998,2.612,10.992,45.769,27.6198,9.351,45.769,42.283
2890,SYS,SYS.5,17.992,42.206,44.143,3.875,1.3219999999999998,-0.795,0.527,11.718,0.5579999999999999,10.725,-1.743,0.8690000000000001,14.802,55.861,44.3702,14.699000000000002,55.861,55.334
2891,SYS,SYS.5,20.568,52.383,56.027,3.625,1.972,-1.666,0.306,19.771,0.599,12.377,-1.693,-0.8240000000000001,16.320999999999998,75.798,37.887,17.304000000000002,75.798,75.492
1551,SYSTEMS & COMPUTER TECH CORP,SCTC.,271.971,387.841,198.543,74.723,22.2,9.015,31.215,141.131,0.0,87.973,14.818,126.357,88.68,339.67400000000004,297.036,166.44400000000005,339.67400000000004,308.459
1552,SYSTEMS & COMPUTER TECH CORP,SCTC.,248.508,366.647,126.134,74.723,17.94,23.596,41.536,107.423,0.0,70.441,-9.075,117.039,77.824,233.557,234.129,148.076,233.557,192.021
1553,SYSTEMS & COMPUTER TECH CORP,SCTC.,233.52,349.43,157.514,31.99,8.5,30.552,39.052,112.125,0.0,70.41199999999999,17.502,135.106,79.132,269.639,354.6677,108.458,269.639,230.587
3225,T-3 ENERGY SERVICES INC,TTES,110.337,300.562,132.485,61.423,4.971,40.761,45.732,84.949,47.457,36.204,25.25,30.19,44.18,217.43400000000003,579.1632,109.914,217.43400000000003,171.702
3226,T-3 ENERGY SERVICES INC,TTES,116.798,287.112,164.702,18.753,8.349,53.96,62.309,120.627,58.422,45.61,12.997,40.04,47.822,285.329,118.4437,76.017,285.329,223.02
3227,T-3 ENERGY SERVICES INC,TTES,103.682,279.821,129.95,0.0,8.932,21.684,30.616,88.51100000000001,53.68899999999999,31.572,16.165,57.968,28.45,218.461,332.469,40.725,218.461,187.845
4230,T-NETIX INC,TNTX,20.346,71.495,63.336000000000006,29.813,12.454,2.045,14.499,39.967,0.764,16.283,-0.368,-15.447,18.268,103.303,27.2848,46.096,103.303,88.804
4231,T-NETIX INC,TNTX,20.962,63.197,65.044,0.218,13.004,8.782,21.786,52.715,0.705,38.07,-0.5479999999999999,-17.072,18.03,117.759,50.0599,38.288,117.759,95.973
4232,T-NETIX INC,TNTX,29.624,66.657,72.721,19.091,12.101,6.343,18.444000000000003,47.089,1.4240000000000002,20.506,2.065,-15.424,20.038,119.81,30.2545,39.597,119.81,101.366
7083,T/R SYSTEMS INC,TRSI.,40.894,45.391000000000005,11.217,0.0,0.949,2.483,3.432,21.029,4.817,6.195,6.334,-4.313,7.074,32.246,93.9028,6.195,32.246,28.814
7084,T/R SYSTEMS INC,TRSI.,22.088,28.488000000000003,5.644,0.0,2.197,-12.068,-9.871,11.974,4.1080000000000005,4.513,-15.367,-19.68,4.667,17.618,43.036,4.513,17.618,27.489
7085,T/R SYSTEMS INC,TRSI.,11.558,15.295,4.347,0.0,3.715,-10.005,-6.29,10.392,2.18,5.966,-14.779000000000002,-34.459,1.919,14.739,6.4839,5.966,14.739,21.029
1575,TAB PRODUCTS,TBP.1,51.258,73.293,76.149,0.0,4.006,-11.273,-7.267,54.419,6.8420000000000005,19.034,8.574,69.85600000000001,29.685,130.56799999999998,25.0587,20.613000000000003,130.56799999999998,137.835
1576,TAB PRODUCTS,TBP.1,46.762,62.157,65.27199999999999,0.0,9.17,-19.271,-10.101,53.25,5.104,20.383,-12.084,57.184,28.271,118.522,19.2622,21.654,118.522,128.623
1577,TAB PRODUCTS,TBP.1,37.353,50.149,61.906000000000006,0.0,2.724,-5.414,-2.69,42.041,4.667,14.043,-3.39,51.013000000000005,18.466,103.947,27.6696,16.046,103.947,106.637
3861,TALBOTS INC,TLB,476.847,825.818,746.9689999999999,0.0,74.309,9.799,84.10799999999999,530.763,142.696,738.789,-29.412,-99.869,166.55200000000002,1277.732,619.3,1011.454,1277.732,1193.624
3862,TALBOTS INC,TLB,351.112,668.5160000000001,693.7310000000001,0.0,61.501000000000005,56.646,118.147,558.629,158.04,255.195,10.815,-89.09100000000001,145.472,1252.36,383.6305,484.93,1252.36,1134.213
3863,TALBOTS INC,TLB,345.41,644.182,752.9739999999999,0.0,54.559,-85.501,-30.942,425.776,164.734,370.17800000000005,-111.889,-265.38,141.90200000000002,1178.75,228.3098,628.207,1178.75,1209.692
8388,TALEO CORP,TLEO,304.191,456.377,38.655,0.107,27.437,-1.41,26.027,159.757,0.0,101.667,1.293,-74.42699999999999,49.427,198.412,929.2282,119.168,198.412,172.385
8389,TALEO CORP,TLEO,223.815,523.836,49.716,0.046,28.72,0.679,29.399,187.55900000000003,0.0,135.878,0.42,-73.22399999999999,64.154,237.275,1124.5808,155.321,237.275,207.876
8390,TALEO CORP,TLEO,232.42,574.722,68.212,0.0069999999999999,35.16,-5.239,29.921,247.183,0.0,176.18400000000003,-17.430999999999997,-93.569,93.757,315.395,1612.5605,195.495,315.395,285.474
4533,TALK AMERICA HOLDINGS INC,TALK,105.595,247.178,181.682,31.791,18.344,66.288,84.632,202.011,0.0,93.235,81.817,-246.984,40.321,383.693,307.1578,144.035,383.693,299.061
4534,TALK AMERICA HOLDINGS INC,TALK,138.06799999999998,241.728,225.24400000000003,1.717,22.904,59.32899999999999,82.23299999999999,245.768,0.0,84.584,36.812,-210.172,48.873000000000005,471.012,178.9849,100.207,471.012,388.779
4535,TALK AMERICA HOLDINGS INC,TALK,118.281,288.689,243.925,1.289,44.937,42.774,87.711,218.815,0.0,88.73899999999999,26.161,-184.011,43.6,462.74,262.0758,96.902,462.74,375.029
5313,TALX CORP,TALX,49.41,246.919,54.093,57.5,10.624,33.14,43.764,104.302,3.713,24.594,16.61,-12.667,19.718,158.395,379.1808,95.055,158.395,114.631
5314,TALX CORP,TALX,58.149,347.545,63.738,110.802,13.242,55.089,68.331,143.689,5.9110000000000005,29.658,30.49,13.589,31.527,207.427,917.768,161.247,207.427,139.096
5315,TALX CORP,TALX,66.289,456.417,78.795,176.577,20.059,72.96,93.019,191.763,6.199,34.478,33.806,32.52,33.71,270.558,1054.0641,261.105,270.558,177.53900000000002
2079,TANGRAM ENTP SOLUTIONS,3TESI,6.255,12.046,3.017,3.925,0.8909999999999999,-3.683,-2.792,10.967,0.0,5.757999999999999,-3.882,-43.098,5.3,13.984000000000002,6.1523,10.064,13.984000000000002,16.776
2080,TANGRAM ENTP SOLUTIONS,3TESI,5.089,13.429,2.9930000000000003,1.02,1.156,-1.632,-0.476,12.413,0.0,6.675,-1.808,-45.117,4.516,15.406,17.4654,8.187999999999999,15.406,15.882
2081,TANGRAM ENTP SOLUTIONS,3TESI,3.385,9.934,3.746,1.954,0.34,-0.866,-0.526,7.834,0.0,4.808,-2.712,-48.093,2.6710000000000003,11.58,5.9406,7.3039999999999985,11.58,12.106
5583,TANISYS TECHNOLOGY INC,TNIS,4.147,4.593,2.967,0.0,0.2739999999999999,1.889,2.1630000000000003,6.334,0.695,2.5540000000000003,2.15,-37.253,1.712,9.301,42.1698,2.5540000000000003,9.301,7.138
5584,TANISYS TECHNOLOGY INC,TNIS,3.153,3.5660000000000003,2.593,0.365,0.228,-2.09,-1.862,2.613,1.042,1.1909999999999998,-2.361,-42.132,0.601,5.206,1.4489,1.614,5.206,7.068
5585,TANISYS TECHNOLOGY INC,TNIS,1.107,1.338,1.394,0.004,0.213,-2.006,-1.793,1.225,0.417,3.176,-3.769,-46.31,0.4529999999999999,2.619,0.3622,3.18,2.619,4.412
6777,TANNING TECHNOLOGY CORP,TANN.1,102.223,108.165,37.786,0.0,2.476,-4.374,-1.898,44.192,0.0,14.195,-7.912999999999999,-3.491,15.327,81.978,79.5062,15.264,81.978,83.876
6778,TANNING TECHNOLOGY CORP,TANN.1,69.956,82.05,22.476,0.0,2.745,-20.547,-17.802,23.698,0.0,7.426,-18.16,-21.51,10.988,46.174,67.9672,8.107999999999999,46.174,63.976000000000006
6779,TANNING TECHNOLOGY CORP,TANN.1,44.951,47.397,10.063,0.0,1.737,-20.527,-18.79,-0.773,0.0,5.002,-30.879,-52.358,3.327,9.29,15.8095,9.378,9.29,28.08
7272,TANOX INC,TNOX,173.78,238.553,31.624,5.0,2.609,-13.727,-11.118,-11.118,0.0,9.355,-10.29,-92.657,8.242,20.506,668.4504,14.355,20.506,31.624
7273,TANOX INC,TNOX,185.575,229.936,50.976000000000006,0.0,4.074,-10.363,-6.289,-6.289,0.0,16.495,-19.424,-112.575,30.256,44.687,735.2094,16.495,44.687,50.976000000000006
7274,TANOX INC,TNOX,189.702,232.108,60.881,0.0,4.593,-9.337,-4.744,-4.744,0.0,10.905,-2.568,-115.768,14.632,56.137,905.6689,11.905,56.137,60.881
3639,TARANTELLA INC,3TTLA,11.382,13.598,0.534,0.0,0.975,-12.079,-11.104,14.182,0.0,7.119,-15.786,-114.628,3.281,14.716,10.6673,7.3820000000000014,14.716,25.82
3640,TARANTELLA INC,3TTLA,7.657999999999999,12.388,0.62,0.0,0.935,-7.015,-6.08,13.386,0.0,9.884,-9.684,-124.281,3.155,14.005999999999998,15.5467,9.92,14.005999999999998,20.086
3641,TARANTELLA INC,3TTLA,12.559,16.594,1.161,0.0,1.142,-12.776,-11.634,11.327,0.0,10.188,-15.655,-140.305,2.316,12.488,38.5742,10.998,12.488,24.122
5115,TARGET LOGISTICS INC,TLG.1,28.789,42.6,93.913,0.037,0.6,2.854,3.454,44.479,0.0,23.005,1.561,-9.854,20.935,138.392,19.7938,23.44,138.392,134.938
5116,TARGET LOGISTICS INC,TLG.1,29.798,45.251000000000005,110.098,0.284,0.616,4.776,5.392,50.271,0.0,23.015,2.7060000000000004,-7.379,21.596,160.369,63.4989,23.57,160.369,154.977
5117,TARGET LOGISTICS INC,TLG.1,34.219,49.979,126.501,0.163,0.8170000000000001,2.944,3.761,53.524,0.0,26.407,1.629,-5.874,26.365,180.025,35.7925,26.675,180.025,176.264
8241,TARPON INDUSTRIES INC,TPOSQ,22.335,39.006,55.901,0.01,0.939,-5.372000000000001,-4.433,4.95,6.92,33.418,-7.309,-10.43,7.73,60.851000000000006,12.2032,33.811,60.851000000000006,65.28399999999999
8242,TARPON INDUSTRIES INC,TPOSQ,17.585,24.116,68.601,0.002,0.929,-3.49,-2.5610000000000004,6.73,6.76,27.433000000000003,-9.993,-20.284,8.607999999999999,75.331,3.7455,27.543000000000006,75.331,77.892
8243,TARPON INDUSTRIES INC,TPOSQ,7.968,10.774,32.161,0.0,0.092,-2.296,-2.204,3.194,2.592,21.566,-12.296,-33.01,4.548,35.355,1.1344,21.568,35.355,37.559
4470,TARRANT APPAREL GROUP,TAGS.1,72.143,111.132,184.12,11.213,0.455,9.932,10.387,48.282,17.774,81.93700000000001,-22.221,-107.247,51.793,232.402,44.8997,93.155,232.402,222.015
4471,TARRANT APPAREL GROUP,TAGS.1,56.511,70.98899999999999,194.769,0.0,0.415,9.5,9.915,48.951,13.140999999999998,49.685,1.7480000000000002,-106.293,41.435,243.72,37.171,49.685,243.72,233.805
4472,TARRANT APPAREL GROUP,TAGS.1,54.543,60.019,158.996,0.0,0.317,-0.5710000000000001,-0.254,36.312,7.066,44.99,-11.081,-118.871,40.781,195.308,16.4907,50.154,195.308,195.562
7833,TASKER PRODUCTS CORP,TKER,3.389,68.854,1.308,1.521,1.1,-16.964000000000002,-15.864,-0.602,1.351,3.992,-18.269,-26.066,0.809,0.706,65.0919,5.566,0.706,16.57
7834,TASKER PRODUCTS CORP,TKER,2.227,21.967,0.937,0.0,1.703,-16.708,-15.005,0.5489999999999999,0.3,5.707999999999999,-62.943000000000005,-89.008,0.226,1.486,19.6729,5.738,1.486,16.491
7835,TASKER PRODUCTS CORP,TKER,3.418,23.927,0.62,0.965,1.113,-13.674,-12.561,1.981,0.285,35.64,-41.394,-130.40200000000002,0.367,2.6010000000000004,21.2548,36.624,2.6010000000000004,15.162
1584,TASTY BAKING CO,TSTY,34.674,159.197,118.818,58.393,13.26,-7.516,5.744,55.148,7.19,23.732,-6.806,11.054,21.519,173.96599999999998,27.676,126.23,173.96599999999998,168.222
1585,TASTY BAKING CO,TSTY,31.799,189.47,118.38,89.53399999999999,17.035,-7.381,9.654,62.182,6.767,31.865,-3.389,5.212000000000001,19.48,180.562,55.4485,161.686,180.562,170.908
1586,TASTY BAKING CO,TSTY,29.56,153.84,124.418,1.0659999999999998,13.962,-18.735,-4.773,47.25,7.454,144.002,-45.178,-39.835,19.016,171.668,54.7561,170.821,171.668,176.44099999999997
4791,TB WOOD'S CORP,TBWC,38.069,69.37,66.869,16.708,5.422999999999999,1.352,6.775,34.646,20.418,21.885,4.618,7.101,15.11,101.515,32.383,39.635,101.515,94.74
4792,TB WOOD'S CORP,TBWC,36.886,67.753,72.42699999999999,25.829,4.765,5.988,10.753,38.47,15.579,20.315,2.38,9.065,15.797,110.897,25.5507,46.235,110.897,100.144
4793,TB WOOD'S CORP,TBWC,40.669,72.768,76.273,23.884,4.517,9.504,14.021,42.662,19.668,22.088,4.114,12.977,18.404,118.935,64.155,46.222,118.935,104.914
3966,TBA ENTERTAINMENT CORP,TBA,6.435,34.408,41.0,7.341,2.898,-3.257,-0.359,19.405,0.0,9.347,-6.931,-6.797999999999999,1.574,60.405,26.1351,16.688,60.405,60.764
3967,TBA ENTERTAINMENT CORP,TBA,5.176,28.139,33.009,3.562,0.6779999999999999,-0.034,0.644,16.123,0.0,9.01,-2.164,-8.962,1.994,49.132,10.0205,12.572,49.132,48.488
3968,TBA ENTERTAINMENT CORP,TBA,7.745,20.656,32.977,3.069,0.324,1.008,1.332,14.955,0.0,11.693,-9.814,-18.776,3.242,47.932,5.9,14.762,47.932,46.6
1554,TBC CORP,TBCC,317.773,473.871,795.1310000000001,79.7,12.689,49.932,62.621,314.532,170.86700000000002,151.157,27.382,204.304,119.708,1109.663,255.7169,250.751,1109.663,1047.042
1555,TBC CORP,TBCC,413.03,781.977,866.172,208.62,18.228,59.666,77.89399999999999,452.359,265.317,275.672,33.359,237.307,122.573,1318.531,565.3681,518.582,1318.531,1240.637
1556,TBC CORP,TBCC,488.598,864.753,1133.0510000000002,167.34900000000002,27.573,73.87899999999999,101.452,722.367,291.745,349.98800000000006,37.196,272.343,149.961,1855.418,620.2736,562.086,1855.418,1753.966
3084,TCSI CORP,3TCSI,46.041,58.163,15.923,0.0,4.231,-18.876,-14.645,16.843,0.0,8.681000000000001,-22.482,-4.051,13.013,32.766,72.3148,8.681000000000001,32.766,47.411
3085,TCSI CORP,3TCSI,39.665,46.313,4.147,0.0,4.378,-12.712,-8.334,14.754,0.0,7.755,-12.355,-16.41,5.018,18.901,31.823,7.755,18.901,27.235
